Value::7 4 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[2.3,2.6,3.0,2.0,3.4,3.2,3.3,2.9,3.1,2.5,2.4,3.6,2.7,2.8,3.8,1.4,1.6,2.1,3.5,4.0,4.3]:[0.06097560975609756,0.0975609756097561,0.07317073170731707,0.024390243902439025,0.10975609756097561,0.07317073170731707,0.036585365853658534,0.0975609756097561,0.07317073170731707,0.06097560975609756,0.036585365853658534,0.036585365853658534,0.036585365853658534,0.06097560975609756,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.024390243902439025,0.036585365853658534,0.012195121951219513,0.012195121951219513];GuiltRep::[2.3,2.6,3.0,2.0,3.4,3.2,3.3,2.9,3.1,2.5,2.4,3.6,2.7,2.8,3.8,1.4,1.6,2.1,3.5,4.0,4.3]:[10,16,12,4,18,12,6,16,12,10,6,6,6,10,2,2,2,4,6,2,2];SumPayOffs::26350200;MinPayOffs::-329292;MaxPayOffs::193924;Iteration::170

Value::6 5 1 0 ;C::0;D::164;IdealRepartition::[Rawls]:[164];GainFreq::[3.4,3.5,2.8,2.7,3.0,3.1,2.4,2.5,3.8,3.3,2.6,2.9,3.6,1.9,3.2,2.1,2.3,4.0,2.0,2.2,4.1,1.4]:[0.036585365853658534,0.06097560975609756,0.08536585365853659,0.07317073170731707,0.08536585365853659,0.0975609756097561,0.06097560975609756,0.08536585365853659,0.012195121951219513,0.06097560975609756,0.06097560975609756,0.06097560975609756,0.024390243902439025,0.012195121951219513,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.012195121951219513,0.024390243902439025,0.012195121951219513,0.012195121951219513];GuiltRep::[3.4,3.5,2.8,2.7,3.0,3.1,2.4,2.5,3.8,3.3,2.6,2.9,3.6,1.9,3.2,2.1,2.3,4.0,2.0,2.2,4.1,1.4]:[6,10,14,12,14,16,10,14,2,10,10,10,4,2,8,4,4,4,2,4,2,2];SumPayOffs::-4959672;MinPayOffs::-129500;MaxPayOffs::43504;Iteration::160

Value::7 5 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[2.5,3.2,3.3,3.8,2.9,3.7,3.1,3.0,3.5,2.0,2.4,2.6,2.7,2.8,2.2,3.4,3.6,4.1,1.6,1.5,2.1]:[0.04878048780487805,0.07317073170731707,0.06097560975609756,0.036585365853658534,0.14634146341463414,0.024390243902439025,0.12195121951219512,0.0975609756097561,0.024390243902439025,0.012195121951219513,0.024390243902439025,0.08536585365853659,0.024390243902439025,0.036585365853658534,0.024390243902439025,0.036585365853658534,0.06097560975609756,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.024390243902439025];GuiltRep::[2.5,3.2,3.3,3.8,2.9,3.7,3.1,3.0,3.5,2.0,2.4,2.6,2.7,2.8,2.2,3.4,3.6,4.1,1.6,1.5,2.1]:[8,12,10,6,24,4,20,16,4,2,4,14,4,6,4,6,10,2,2,2,4];SumPayOffs::27148960;MinPayOffs::-622090;MaxPayOffs::221930;Iteration::160

Value::8 5 1 0 ;C::0;D::164;IdealRepartition::[Rawls]:[164];GainFreq::[2.1,3.2,2.7,2.8,2.9,2.4,3.0,3.4,3.7,2.2,2.5,3.3,2.6,3.1,3.8,1.9,3.5,2.0,3.6,2.3]:[0.024390243902439025,0.07317073170731707,0.12195121951219512,0.07317073170731707,0.036585365853658534,0.036585365853658534,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.04878048780487805,0.08536585365853659,0.0975609756097561,0.10975609756097561,0.04878048780487805,0.012195121951219513,0.012195121951219513,0.036585365853658534,0.012195121951219513,0.012195121951219513,0.012195121951219513];GuiltRep::[2.1,3.2,2.7,2.8,2.9,2.4,3.0,3.4,3.7,2.2,2.5,3.3,2.6,3.1,3.8,1.9,3.5,2.0,3.6,2.3]:[4,12,20,12,6,6,8,12,4,8,14,16,18,8,2,2,6,2,2,2];SumPayOffs::1519056;MinPayOffs::-77200;MaxPayOffs::38464;Iteration::140

Value::9 5 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[2.3,3.6,2.9,3.4,3.8,3.0,3.5,2.7,3.2,3.1,2.4,2.2,2.1,2.8,2.6,2.5,2.0,4.2,3.3]:[0.08536585365853659,0.04878048780487805,0.08536585365853659,0.04878048780487805,0.024390243902439025,0.08536585365853659,0.04878048780487805,0.04878048780487805,0.036585365853658534,0.036585365853658534,0.07317073170731707,0.06097560975609756,0.036585365853658534,0.13414634146341464,0.04878048780487805,0.036585365853658534,0.024390243902439025,0.012195121951219513,0.024390243902439025];GuiltRep::[2.3,3.6,2.9,3.4,3.8,3.0,3.5,2.7,3.2,3.1,2.4,2.2,2.1,2.8,2.6,2.5,2.0,4.2,3.3]:[14,8,14,8,4,14,8,8,6,6,12,10,6,22,8,6,4,2,4];SumPayOffs::29852000;MinPayOffs::-252690;MaxPayOffs::221740;Iteration::160

Value::7 6 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[2.7,2.4,2.8,3.2,3.9,3.4,3.0,2.1,2.6,2.2,3.5,2.9,3.3,3.6,2.3,2.5,3.1,1.9,1.6,2.0,4.0]:[0.036585365853658534,0.036585365853658534,0.10975609756097561,0.07317073170731707,0.012195121951219513,0.04878048780487805,0.0975609756097561,0.024390243902439025,0.06097560975609756,0.04878048780487805,0.036585365853658534,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.07317073170731707,0.04878048780487805,0.06097560975609756,0.024390243902439025,0.012195121951219513,0.012195121951219513,0.012195121951219513];GuiltRep::[2.7,2.4,2.8,3.2,3.9,3.4,3.0,2.1,2.6,2.2,3.5,2.9,3.3,3.6,2.3,2.5,3.1,1.9,1.6,2.0,4.0]:[6,6,18,12,2,8,16,4,10,8,6,8,8,12,12,8,10,4,2,2,2];SumPayOffs::29429174;MinPayOffs::-472140;MaxPayOffs::249472;Iteration::150

Value::8 6 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[2.6,2.4,2.7,2.9,3.3,3.2,3.1,3.7,2.8,3.6,2.5,4.1,3.0,3.8,3.5,3.4,2.2,1.4,2.0,3.9,2.3,2.1]:[0.0975609756097561,0.06097560975609756,0.06097560975609756,0.12195121951219512,0.08536585365853659,0.07317073170731707,0.08536585365853659,0.012195121951219513,0.07317073170731707,0.024390243902439025,0.036585365853658534,0.012195121951219513,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.036585365853658534,0.024390243902439025,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.024390243902439025,0.012195121951219513];GuiltRep::[2.6,2.4,2.7,2.9,3.3,3.2,3.1,3.7,2.8,3.6,2.5,4.1,3.0,3.8,3.5,3.4,2.2,1.4,2.0,3.9,2.3,2.1]:[16,10,10,20,14,12,14,2,12,4,6,2,8,4,8,6,4,2,2,2,4,2];SumPayOffs::17174616;MinPayOffs::-409672;MaxPayOffs::199236;Iteration::160

Value::9 6 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[1.2,2.4,2.9,2.3,3.1,2.8,1.5,2.6,3.3,3.6,3.4,2.7,1.8,3.8,3.0,3.5,3.2,2.5,2.2,1.4,2.1,1.9]:[0.012195121951219513,0.06097560975609756,0.04878048780487805,0.04878048780487805,0.08536585365853659,0.07317073170731707,0.012195121951219513,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.07317073170731707,0.06097560975609756,0.024390243902439025,0.036585365853658534,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.06097560975609756,0.012195121951219513,0.036585365853658534,0.012195121951219513];GuiltRep::[1.2,2.4,2.9,2.3,3.1,2.8,1.5,2.6,3.3,3.6,3.4,2.7,1.8,3.8,3.0,3.5,3.2,2.5,2.2,1.4,2.1,1.9]:[2,10,8,8,14,12,2,8,8,4,12,10,4,6,8,8,8,12,10,2,6,2];SumPayOffs::20326112;MinPayOffs::-235180;MaxPayOffs::177144;Iteration::110

Value::10 6 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[2.9,2.5,4.6,2.4,2.8,2.0,2.7,3.7,2.1,3.1,2.3,2.6,3.0,2.2,3.4,3.5,3.2,3.6,3.3,1.4,1.8]:[0.0975609756097561,0.036585365853658534,0.012195121951219513,0.04878048780487805,0.07317073170731707,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.036585365853658534,0.0975609756097561,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.012195121951219513,0.024390243902439025,0.10975609756097561,0.012195121951219513,0.07317073170731707,0.012195121951219513,0.012195121951219513];GuiltRep::[2.9,2.5,4.6,2.4,2.8,2.0,2.7,3.7,2.1,3.1,2.3,2.6,3.0,2.2,3.4,3.5,3.2,3.6,3.3,1.4,1.8]:[16,6,2,8,12,8,12,4,6,16,8,8,12,4,2,4,18,2,12,2,2];SumPayOffs::29209676;MinPayOffs::-306544;MaxPayOffs::231808;Iteration::140

